Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Cost,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Price / International,Compare At Price / International,Status
co3-mvi-15-10,CO3 MVI 15-10 (~1 in / ~3 Out 208-230V),"<p><strong>Model:</strong> CO3 MVI 15-10<br><strong>Voltage:</strong> ~1 in / ~3 Out 208-230V<br><strong>Power:</strong> 2 HP<br><strong>Weight:</strong> 582 lbs</p><p><em>NOTE: We will contact you during order fulfilment to discuss shipping and handling costs for products weighing more than 150 pounds. These costs will be billed separately.</em></p><p><a href=""https://wilo.com/en/overview.html"" target=""_blank"">View on Manufacturer Website</a></p>",Wilo,Booster Pump Systems,"Wilo, CO3-MVI-~1 in / ~3 Out 208-230V",FALSE,Voltage,~1 in / ~3 Out 208-230V,,,,,3353080,263990,shopify,,deny,manual,26915.724,61790.0,22244.399999999998,FALSE,TRUE,,https://cdn.shopify.com/s/files/1/0589/7106/2440/files/CO3_MVI.png?v=1753088373,1,CO3 MVI 15-10 (~1 in / ~3 Out 208-230V),,CO3-MVI CO3 MVI 15-10 – Wilo CO3-MVI Series ~1 in / ~3 Out 208-230V,"CO3-MVI CO3 MVI 15-10 <p><strong>Model:</strong> CO3 MVI 15-10<br><strong>Voltage:</strong> ~1 in / ~3 Out 208-230V<br><strong>Power:</strong> 2 HP<br><strong>Weight:</strong> 582 lbs</p><p><em>NOTE: We will contact you during order fulfilment to discuss shipping and handling costs for products weighing more than 150 pounds. These costs will be billed separately.</em></p><p><a href=""https://wilo.com/en/overview.html"" target=""_blank"">View on Manufacturer Website</a></p> 26915.724 USD
Buy CO3 MVI 15-10 online. Durable, efficient booster pump system from Wilo.",,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0589/7106/2440/files/CO3_MVI.png?v=1753088373,lb,,22244.399999999998,,,draft
co3-mvi-15-10,,,,,,FALSE,Voltage,3~ 208-230V,,,,,3353349,263990,shopify,,deny,manual,27734.652000000002,63670.0,22921.2,FALSE,TRUE,,,,,,,,,,,,,,,,,,,,,,lb,,22921.2,,,draft
co3-mvi-15-10,,,,,,FALSE,Voltage,3~ 460V,,,,,3353838,263990,shopify,,deny,manual,25907.309999999998,59475.0,21411.0,FALSE,TRUE,,,,,,,,,,,,,,,,,,,,,,lb,,21411.0,,,draft
co3-mvi-15-10,,,,,,FALSE,Voltage,3~ 575V,,,,,3354327,263990,shopify,,deny,manual,27601.793999999998,63365.0,22811.399999999998,FALSE,TRUE,,,,,,,,,,,,,,,,,,,,,,lb,,22811.399999999998,,,draft
co3-mvi-15-11,CO3 MVI 15-11 (~1 in / ~3 Out 208-230V),"<p><strong>Model:</strong> CO3 MVI 15-11<br><strong>Voltage:</strong> ~1 in / ~3 Out 208-230V<br><strong>Power:</strong> 2 HP<br><strong>Weight:</strong> 585 lbs</p><p><em>NOTE: We will contact you during order fulfilment to discuss shipping and handling costs for products weighing more than 150 pounds. These costs will be billed separately.</em></p><p><a href=""https://wilo.com/en/overview.html"" target=""_blank"">View on Manufacturer Website</a></p>",Wilo,Booster Pump Systems,"Wilo, CO3-MVI-~1 in / ~3 Out 208-230V",FALSE,Voltage,~1 in / ~3 Out 208-230V,,,,,3353081,265351,shopify,,deny,manual,26963.64,61900.0,22284.0,FALSE,TRUE,,https://cdn.shopify.com/s/files/1/0589/7106/2440/files/CO3_MVI.png?v=1753088373,1,CO3 MVI 15-11 (~1 in / ~3 Out 208-230V),,CO3-MVI CO3 MVI 15-11 – Wilo CO3-MVI Series ~1 in / ~3 Out 208-230V,"CO3-MVI CO3 MVI 15-11 <p><strong>Model:</strong> CO3 MVI 15-11<br><strong>Voltage:</strong> ~1 in / ~3 Out 208-230V<br><strong>Power:</strong> 2 HP<br><strong>Weight:</strong> 585 lbs</p><p><em>NOTE: We will contact you during order fulfilment to discuss shipping and handling costs for products weighing more than 150 pounds. These costs will be billed separately.</em></p><p><a href=""https://wilo.com/en/overview.html"" target=""_blank"">View on Manufacturer Website</a></p> 26963.64 USD
Buy CO3 MVI 15-11 online. Durable, efficient booster pump system from Wilo.",,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0589/7106/2440/files/CO3_MVI.png?v=1753088373,lb,,22284.0,,,draft
co3-mvi-15-11,,,,,,FALSE,Voltage,3~ 208-230V,,,,,3353350,265351,shopify,,deny,manual,27786.923999999995,63790.0,22964.399999999998,FALSE,TRUE,,,,,,,,,,,,,,,,,,,,,,lb,,22964.399999999998,,,draft
co3-mvi-15-11,,,,,,FALSE,Voltage,3~ 460V,,,,,3353839,265351,shopify,,deny,manual,25955.226,59585.0,21450.6,FALSE,TRUE,,,,,,,,,,,,,,,,,,,,,,lb,,21450.6,,,draft
co3-mvi-15-11,,,,,,FALSE,Voltage,3~ 575V,,,,,3354328,265351,shopify,,deny,manual,27651.888,63480.0,22852.8,FALSE,TRUE,,,,,,,,,,,,,,,,,,,,,,lb,,22852.8,,,draft
co3-mvi-15-12,CO3 MVI 15-12 (~1 in / ~3 Out 208-230V),"<p><strong>Model:</strong> CO3 MVI 15-12<br><strong>Voltage:</strong> ~1 in / ~3 Out 208-230V<br><strong>Power:</strong> 2 HP<br><strong>Weight:</strong> 588 lbs</p><p><em>NOTE: We will contact you during order fulfilment to discuss shipping and handling costs for products weighing more than 150 pounds. These costs will be billed separately.</em></p><p><a href=""https://wilo.com/en/overview.html"" target=""_blank"">View on Manufacturer Website</a></p>",Wilo,Booster Pump Systems,"Wilo, CO3-MVI-~1 in / ~3 Out 208-230V",FALSE,Voltage,~1 in / ~3 Out 208-230V,,,,,3353082,266712,shopify,,deny,manual,27028.98,62050.0,22338.0,FALSE,TRUE,,https://cdn.shopify.com/s/files/1/0589/7106/2440/files/CO3_MVI.png?v=1753088373,1,CO3 MVI 15-12 (~1 in / ~3 Out 208-230V),,CO3-MVI CO3 MVI 15-12 – Wilo CO3-MVI Series ~1 in / ~3 Out 208-230V,"CO3-MVI CO3 MVI 15-12 <p><strong>Model:</strong> CO3 MVI 15-12<br><strong>Voltage:</strong> ~1 in / ~3 Out 208-230V<br><strong>Power:</strong> 2 HP<br><strong>Weight:</strong> 588 lbs</p><p><em>NOTE: We will contact you during order fulfilment to discuss shipping and handling costs for products weighing more than 150 pounds. These costs will be billed separately.</em></p><p><a href=""https://wilo.com/en/overview.html"" target=""_blank"">View on Manufacturer Website</a></p> 27028.98 USD
Buy CO3 MVI 15-12 online. Durable, efficient booster pump system from Wilo.",,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0589/7106/2440/files/CO3_MVI.png?v=1753088373,lb,,22338.0,,,draft
co3-mvi-15-12,,,,,,FALSE,Voltage,3~ 208-230V,,,,,3353351,266712,shopify,,deny,manual,27856.62,63950.0,23022.0,FALSE,TRUE,,,,,,,,,,,,,,,,,,,,,,lb,,23022.0,,,draft
