Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Product Category,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Price / International,Compare At Price / International,Status
il-1.25-25-55-4,"IL 1.25 25/55-4-Wilo-IL  Single Phase, 4 Pole","<p><strong>Model: </strong> IL 1.25 25/55-4<br><strong>Power HP: </strong> 1/2<br><strong>Voltage: </strong> 1~ 115/230V<br><strong>Weight lbs: </strong> 93<br><strong>Flange Type: </strong> 1¼” ANSI<br></p><p><a href=""https://wilo.com/en/overview.html"" target=""_blank"">View Manufacturer Website</a></p>",Wilo,Wilo - Inline Pumps,"Wilo, Wilo-IL  Single Phase-4 Pole",FALSE,,,,,,,2714441,42184.056,,,continue,manual,2125.89,5135,TRUE,TRUE,,Hardware > Hardware Pumps > Utility Pumps,https://cdn.shopify.com/s/files/1/0589/7106/2440/files/IL.png?v=1754053250,1,"IL 1.25 25/55-4-Wilo-IL  Single Phase, 4 Pole",,IL 1.25 25/55-4 - Wilo,"<p><strong>Model: </strong> IL 1.25 25/55-4<br><strong>Power HP: </strong> 1/2<br><strong>Voltage: </strong> 1~ 115/230V<br><strong>Weight lbs: </strong> 93<br><strong>Flange Type: </strong> 1¼” ANSI<br></p><p><a href=""https://wilo.com/en/overview.html"" target=""_blank"">View Manufacturer Website</a></p>",,,,,,,,,,,,,,,lb,,1848.6,,,draft
il-1.25-30-80-4,"IL 1.25 30/80-4-Wilo-IL  Single Phase, 4 Pole","<p><strong>Model: </strong> IL 1.25 30/80-4<br><strong>Power HP: </strong> 3/4<br><strong>Voltage: </strong> 1~ 115/230V<br><strong>Weight lbs: </strong> 97<br><strong>Flange Type: </strong> 1¼” ANSI<br></p><p><a href=""https://wilo.com/en/overview.html"" target=""_blank"">View Manufacturer Website</a></p>",Wilo,Wilo - Inline Pumps,"Wilo, Wilo-IL  Single Phase-4 Pole",FALSE,,,,,,,2714447,43998.424,,,continue,manual,2163.15,5225,TRUE,TRUE,,Hardware > Hardware Pumps > Utility Pumps,https://cdn.shopify.com/s/files/1/0589/7106/2440/files/IL.png?v=1754053250,1,"IL 1.25 30/80-4-Wilo-IL  Single Phase, 4 Pole",,IL 1.25 30/80-4 - Wilo,"<p><strong>Model: </strong> IL 1.25 30/80-4<br><strong>Power HP: </strong> 3/4<br><strong>Voltage: </strong> 1~ 115/230V<br><strong>Weight lbs: </strong> 97<br><strong>Flange Type: </strong> 1¼” ANSI<br></p><p><a href=""https://wilo.com/en/overview.html"" target=""_blank"">View Manufacturer Website</a></p>",,,,,,,,,,,,,,,lb,,1881,,,draft
il-1.25-40-70-4,"IL 1.25 40/70-4-Wilo-IL  Single Phase, 4 Pole","<p><strong>Model: </strong> IL 1.25 40/70-4<br><strong>Power HP: </strong> 1<br><strong>Voltage: </strong> 1~ 115/230V<br><strong>Weight lbs: </strong> 105<br><strong>Flange Type: </strong> 1¼” ANSI<br></p><p><a href=""https://wilo.com/en/overview.html"" target=""_blank"">View Manufacturer Website</a></p>",Wilo,Wilo - Inline Pumps,"Wilo, Wilo-IL  Single Phase-4 Pole",FALSE,,,,,,,2760700,47627.16,,,continue,manual,2202.48,5320,TRUE,TRUE,,Hardware > Hardware Pumps > Utility Pumps,https://cdn.shopify.com/s/files/1/0589/7106/2440/files/IL.png?v=1754053250,1,"IL 1.25 40/70-4-Wilo-IL  Single Phase, 4 Pole",,IL 1.25 40/70-4 - Wilo,"<p><strong>Model: </strong> IL 1.25 40/70-4<br><strong>Power HP: </strong> 1<br><strong>Voltage: </strong> 1~ 115/230V<br><strong>Weight lbs: </strong> 105<br><strong>Flange Type: </strong> 1¼” ANSI<br></p><p><a href=""https://wilo.com/en/overview.html"" target=""_blank"">View Manufacturer Website</a></p>",,,,,,,,,,,,,,,lb,,1915.2,,,draft
il-1.25-50-90-4,"IL 1.25 50/90-4-Wilo-IL  Single Phase, 4 Pole","<p><strong>Model: </strong> IL 1.25 50/90-4<br><strong>Power HP: </strong> 1½<br><strong>Voltage: </strong> 1~ 115/230V<br><strong>Weight lbs: </strong> 116<br><strong>Flange Type: </strong> 1¼” ANSI<br></p><p><a href=""https://wilo.com/en/overview.html"" target=""_blank"">View Manufacturer Website</a></p>",Wilo,Wilo - Inline Pumps,"Wilo, Wilo-IL  Single Phase-4 Pole",FALSE,,,,,,,2760706,52616.672,,,continue,manual,2237.67,5405,TRUE,TRUE,,Hardware > Hardware Pumps > Utility Pumps,https://cdn.shopify.com/s/files/1/0589/7106/2440/files/IL.png?v=1754053250,1,"IL 1.25 50/90-4-Wilo-IL  Single Phase, 4 Pole",,IL 1.25 50/90-4 - Wilo,"<p><strong>Model: </strong> IL 1.25 50/90-4<br><strong>Power HP: </strong> 1½<br><strong>Voltage: </strong> 1~ 115/230V<br><strong>Weight lbs: </strong> 116<br><strong>Flange Type: </strong> 1¼” ANSI<br></p><p><a href=""https://wilo.com/en/overview.html"" target=""_blank"">View Manufacturer Website</a></p>",,,,,,,,,,,,,,,lb,,1945.8,,,draft
il-1.5-25-100-4,"IL 1.5 25/100-4-Wilo-IL  Single Phase, 4 Pole","<p><strong>Model: </strong> IL 1.5 25/100-4<br><strong>Power HP: </strong> 3/4<br><strong>Voltage: </strong> 1~ 115/230V<br><strong>Weight lbs: </strong> 104<br><strong>Flange Type: </strong> 1½” ANSI<br></p><p><a href=""https://wilo.com/en/overview.html"" target=""_blank"">View Manufacturer Website</a></p>",Wilo,Wilo - Inline Pumps,"Wilo, Wilo-IL  Single Phase-4 Pole",FALSE,,,,,,,2714453,47173.568,,,continue,manual,2279.07,5505,TRUE,TRUE,,Hardware > Hardware Pumps > Utility Pumps,https://cdn.shopify.com/s/files/1/0589/7106/2440/files/IL.png?v=1754053250,1,"IL 1.5 25/100-4-Wilo-IL  Single Phase, 4 Pole",,IL 1.5 25/100-4 - Wilo,"<p><strong>Model: </strong> IL 1.5 25/100-4<br><strong>Power HP: </strong> 3/4<br><strong>Voltage: </strong> 1~ 115/230V<br><strong>Weight lbs: </strong> 104<br><strong>Flange Type: </strong> 1½” ANSI<br></p><p><a href=""https://wilo.com/en/overview.html"" target=""_blank"">View Manufacturer Website</a></p>",,,,,,,,,,,,,,,lb,,1981.8,,,draft
il-1.5-35-100-4,"IL 1.5 35/100-4-Wilo-IL  Single Phase, 4 Pole","<p><strong>Model: </strong> IL 1.5 35/100-4<br><strong>Power HP: </strong> 1<br><strong>Voltage: </strong> 1~ 115/230V<br><strong>Weight lbs: </strong> 109<br><strong>Flange Type: </strong> 1½” ANSI<br></p><p><a href=""https://wilo.com/en/overview.html"" target=""_blank"">View Manufacturer Website</a></p>",Wilo,Wilo - Inline Pumps,"Wilo, Wilo-IL  Single Phase-4 Pole",FALSE,,,,,,,2760712,49441.528,,,continue,manual,2312.19,5585,TRUE,TRUE,,Hardware > Hardware Pumps > Utility Pumps,https://cdn.shopify.com/s/files/1/0589/7106/2440/files/IL.png?v=1754053250,1,"IL 1.5 35/100-4-Wilo-IL  Single Phase, 4 Pole",,IL 1.5 35/100-4 - Wilo,"<p><strong>Model: </strong> IL 1.5 35/100-4<br><strong>Power HP: </strong> 1<br><strong>Voltage: </strong> 1~ 115/230V<br><strong>Weight lbs: </strong> 109<br><strong>Flange Type: </strong> 1½” ANSI<br></p><p><a href=""https://wilo.com/en/overview.html"" target=""_blank"">View Manufacturer Website</a></p>",,,,,,,,,,,,,,,lb,,2010.6,,,draft
il-1.5-45-110-4,"IL 1.5 45/110-4-Wilo-IL  Single Phase, 4 Pole","<p><strong>Model: </strong> IL 1.5 45/110-4<br><strong>Power HP: </strong> 1½<br><strong>Voltage: </strong> 1~ 115/230V<br><strong>Weight lbs: </strong> 122<br><strong>Flange Type: </strong> 1½” ANSI<br></p><p><a href=""https://wilo.com/en/overview.html"" target=""_blank"">View Manufacturer Website</a></p>",Wilo,Wilo - Inline Pumps,"Wilo, Wilo-IL  Single Phase-4 Pole",FALSE,,,,,,,2760718,55338.224,,,continue,manual,2351.52,5680,TRUE,TRUE,,Hardware > Hardware Pumps > Utility Pumps,https://cdn.shopify.com/s/files/1/0589/7106/2440/files/IL.png?v=1754053250,1,"IL 1.5 45/110-4-Wilo-IL  Single Phase, 4 Pole",,IL 1.5 45/110-4 - Wilo,"<p><strong>Model: </strong> IL 1.5 45/110-4<br><strong>Power HP: </strong> 1½<br><strong>Voltage: </strong> 1~ 115/230V<br><strong>Weight lbs: </strong> 122<br><strong>Flange Type: </strong> 1½” ANSI<br></p><p><a href=""https://wilo.com/en/overview.html"" target=""_blank"">View Manufacturer Website</a></p>",,,,,,,,,,,,,,,lb,,2044.8,,,draft
il-1.5-50-130-4,"IL 1.5 50/130-4-Wilo-IL  Single Phase, 4 Pole","<p><strong>Model: </strong> IL 1.5 50/130-4<br><strong>Power HP: </strong> 2<br><strong>Voltage: </strong> 1~ 115/230V<br><strong>Weight lbs: </strong> 124<br><strong>Flange Type: </strong> 1½” ANSI<br></p><p><a href=""https://wilo.com/en/overview.html"" target=""_blank"">View Manufacturer Website</a></p>",Wilo,Wilo - Inline Pumps,"Wilo, Wilo-IL  Single Phase-4 Pole",FALSE,,,,,,,2714459,56245.408,,,continue,manual,2498.49,6035,TRUE,TRUE,,Hardware > Hardware Pumps > Utility Pumps,https://cdn.shopify.com/s/files/1/0589/7106/2440/files/IL.png?v=1754053250,1,"IL 1.5 50/130-4-Wilo-IL  Single Phase, 4 Pole",,IL 1.5 50/130-4 - Wilo,"<p><strong>Model: </strong> IL 1.5 50/130-4<br><strong>Power HP: </strong> 2<br><strong>Voltage: </strong> 1~ 115/230V<br><strong>Weight lbs: </strong> 124<br><strong>Flange Type: </strong> 1½” ANSI<br></p><p><a href=""https://wilo.com/en/overview.html"" target=""_blank"">View Manufacturer Website</a></p>",,,,,,,,,,,,,,,lb,,2172.6,,,draft
il-1.5-55-110-4,"IL 1.5 55/110-4-Wilo-IL  Single Phase, 4 Pole","<p><strong>Model: </strong> IL 1.5 55/110-4<br><strong>Power HP: </strong> 2<br><strong>Voltage: </strong> 1~ 115/230V<br><strong>Weight lbs: </strong> 149<br><strong>Flange Type: </strong> 1½” ANSI<br></p><p><a href=""https://wilo.com/en/overview.html"" target=""_blank"">View Manufacturer Website</a></p>",Wilo,Wilo - Inline Pumps,"Wilo, Wilo-IL  Single Phase-4 Pole",FALSE,,,,,,,2760794,67585.208,,,continue,manual,2881.44,6960,TRUE,TRUE,,Hardware > Hardware Pumps > Utility Pumps,https://cdn.shopify.com/s/files/1/0589/7106/2440/files/IL.png?v=1754053250,1,"IL 1.5 55/110-4-Wilo-IL  Single Phase, 4 Pole",,IL 1.5 55/110-4 - Wilo,"<p><strong>Model: </strong> IL 1.5 55/110-4<br><strong>Power HP: </strong> 2<br><strong>Voltage: </strong> 1~ 115/230V<br><strong>Weight lbs: </strong> 149<br><strong>Flange Type: </strong> 1½” ANSI<br></p><p><a href=""https://wilo.com/en/overview.html"" target=""_blank"">View Manufacturer Website</a></p>",,,,,,,,,,,,,,,lb,,2505.6,,,draft
il-2-20-105-4,"IL 2 20/105-4-Wilo-IL  Single Phase, 4 Pole","<p><strong>Model: </strong> IL 2 20/105-4<br><strong>Power HP: </strong> 3/4<br><strong>Voltage: </strong> 1~ 115/230V<br><strong>Weight lbs: </strong> 111<br><strong>Flange Type: </strong> 2” ANSI<br></p><p><a href=""https://wilo.com/en/overview.html"" target=""_blank"">View Manufacturer Website</a></p>",Wilo,Wilo - Inline Pumps,"Wilo, Wilo-IL  Single Phase-4 Pole",FALSE,,,,,,,2714465,50348.712,,,continue,manual,2210.76,5340,TRUE,TRUE,,Hardware > Hardware Pumps > Utility Pumps,https://cdn.shopify.com/s/files/1/0589/7106/2440/files/IL.png?v=1754053250,1,"IL 2 20/105-4-Wilo-IL  Single Phase, 4 Pole",,IL 2 20/105-4 - Wilo,"<p><strong>Model: </strong> IL 2 20/105-4<br><strong>Power HP: </strong> 3/4<br><strong>Voltage: </strong> 1~ 115/230V<br><strong>Weight lbs: </strong> 111<br><strong>Flange Type: </strong> 2” ANSI<br></p><p><a href=""https://wilo.com/en/overview.html"" target=""_blank"">View Manufacturer Website</a></p>",,,,,,,,,,,,,,,lb,,1922.4,,,draft
